Lx,Ly,Lz,Rx,Ry,Rz
17068,-1344,13008,19268,-5364,3884
12256,-1680,14116,15196,1124,6324
9952,-544,13080,16784,-1788,2520
11528,-2492,13744,15840,-4504,628
10876,4580,13748,16080,-1696,1340
11356,-632,13788,16416,-3224,880
10900,-1528,12940,15772,-4724,392
11392,-1384,11156,16072,-1940,3048
10696,-1940,11332,17588,916,1808
11912,-1692,9948,16236,3252,3988
10612,1364,20388,16140,2180,4816
5396,-16316,13664,17968,-1644,2836
21244,1468,11280,16840,1944,6544
14724,2296,12492,17708,1416,3196
11664,-10692,11636,15168,3576,5668
15128,1284,7772,15448,1116,6468
14100,-10952,8760,14288,1196,7896
16040,516,7680,19548,7752,4932
14388,-1984,7916,15940,-6508,5444
14132,-2100,8128,15632,-5248,2280
14612,1192,7556,14824,-3696,3456
15344,-3320,7040,15300,-3736,2692
15264,-1800,4984,13532,-7748,4260
15384,948,6360,19068,960,-1304
22044,3136,1328,9708,-15712,3504
13736,24,13364,17852,3704,4604
13072,-3652,18396,16512,-1816,2820
10204,-564,12024,16956,1208,2760
11208,4452,9748,16296,-1660,3220
9612,-5536,11352,16464,-392,1344
14700,2788,9764,14852,-780,2716
16916,1552,8376,16184,476,3028
17676,-3108,6528,16156,-1164,2264
15292,4044,3988,16296,-196,2444
15332,-3096,4284,16100,-3980,3836
14164,864,3240,17300,-2884,3592
14696,-2748,3272,19100,-1544,748
17220,228,4048,17208,-1780,224
12416,-64,-5320,18644,-4312,-1852
16548,2652,1328,22304,888,-344
17700,-3680,4512,21472,18280,8820
16836,-2024,2616,14284,-3520,8500
15648,-3180,2236,10164,-3540,10272
16052,-2504,2108,11368,-3508,12108
16480,-4536,6336,10752,-4264,11164
15552,-2516,2808,15660,-3524,11056
15776,-2812,3256,18040,-4892,9480
17816,-1328,-508,9596,176,4748
19340,2496,2152,16504,-1428,10528
23108,9400,-4,7952,-15128,7384
21012,-11444,13896,21860,6960,4836
7200,-3396,19016,13992,-3204,3060
9116,2404,13536,15920,2408,2532
5076,664,13120,16640,524,1220
9132,992,13860,15896,-552,308
11760,4212,14404,15440,1432,876
16812,104,11292,16640,-2000,676
15384,-848,6692,17692,-1220,216
12536,-764,372,17692,-2608,1452
14444,-6316,7916,16860,512,1220
14296,11840,1436,20608,-5496,-2692
16260,-6964,4608,20044,-1260,-3240
15516,2748,3472,24680,6264,6524
15800,-4672,856,14044,-5344,9336
14560,-2864,-384,10116,-636,10108
15280,-2296,3184,11144,-2272,10864
18952,-5880,4276,10484,-7308,10452
15964,-260,4280,15036,-972,11484
17380,-2552,3796,17328,-3152,7988
18060,-816,2116,14132,192,3908
20400,40,1520,11124,-2076,4660
27000,8684,-6912,17620,6208,1044
21060,-8912,11776,17472,2552,6700
10260,-10428,15904,16184,-2592,852
12148,6988,10488,17756,1124,2472
4820,-344,13000,16688,-2724,1332
9008,-1016,14288,16652,-1284,2640
10724,5596,15396,15788,2208,-596
15268,144,14216,15036,-1848,-1072
17056,-352,10060,16292,-2176,632
8548,-1884,5288,17564,-2540,-1496
31048,-15760,4668,25472,-11268,-6496
19972,-7512,8392,24400,5528,7204
11064,6252,6280,13776,7780,16220
14568,-5572,3084,7992,-11908,9040
15188,360,220,6732,1820,10864
16304,-3960,4788,5584,-588,14548
16240,440,3600,12584,-3808,12020
16728,-3164,3224,16888,404,9696
16180,-1340,948,12176,-2608,6856
17748,-120,1320,10120,-1504,3508
24192,-2612,1768,32767,5740,4868
22536,3548,1560,17744,-2576,7652
19916,-17900,11756,15348,-3280,1452
11996,5788,10048,17792,1816,2200
6296,124,13740,15388,-3888,1216
6756,744,12960,16540,916,-3008
9240,2476,13964,17540,-120,868
16464,3728,15512,16076,-708,-268
19504,-1624,11976,16592,-768,340
10036,1108,2628,17784,-3536,2620
14912,-2300,10236,18184,-1208,-2328
11932,5788,3804,23452,-12196,-9072
18144,-1352,4748,23568,5268,9880
17272,1852,2660,12548,4280,21068
15724,-6092,-480,10240,-8012,10476
15428,-2888,2008,6944,-2536,10376
15712,-1680,5308,11324,-4320,11208
15448,-1000,5316,11968,-5940,10888
17036,-1516,4584,16692,1300,10648
18276,-196,1036,14976,-2240,6648
18636,-468,1440,10752,-2368,3464
19704,-5572,1844,32767,-17180,-23800
24684,9108,-2220,18416,-8628,1572
22992,-22516,14840,18152,-2252,3792
9780,9380,13472,17496,-280,3788
6496,-1624,13708,16692,-676,4356
8648,1772,13472,16676,2476,984
10048,3164,14064,15656,-2540,1948
13456,1440,14520,15292,-512,900
17456,356,7772,21144,-1612,220
10076,1812,-656,16228,-2876,5504
21432,-5108,4536,18404,-2508,-1804
13424,11288,3472,24364,-8832,-11112
17200,-1948,3952,22708,4036,9456
16752,-2948,-44,12612,5300,15380
15988,-4596,-88,11756,-6828,10720
15772,-2932,1360,7520,-6932,11544
16680,-1452,5016,9768,-3004,12512
15952,-840,4528,14040,-4052,11368
16756,-1524,5024,15892,-1968,8660
17500,-1820,2748,16084,604,5344
18008,-1040,1924,11360,-2644,1392
20292,-3368,1352,32767,-22224,-24672
24624,3740,-1576,19452,-9764,4104
18852,-7404,17832,17300,-1084,3392
8512,5656,12140,20716,4820,2916
4948,2324,12508,16416,-3044,-1260
8672,1224,14784,15380,-248,-2160
10812,1876,15992,16528,-2480,676
13104,2096,15740,16768,-672,-264
15236,3004,11568,15872,-1248,-564
14892,-3748,5808,16036,-1232,340
12156,-3960,4560,17012,-4772,2380
28828,-9064,2352,19884,-2588,-4352
18044,-8344,-624,20764,-10156,-104
16984,16,4368,17360,7640,12800
16920,-2888,4648,10408,-3104,11308
15508,-4024,1904,11272,-228,9608
15892,-2728,1844,11944,-580,10816
16084,-3268,2364,13004,-2556,9676
16404,-2704,1164,13780,2332,9536
16348,-1580,1668,13516,416,8720
16308,-2160,2028,14084,1496,10244
16132,-360,1796,15052,1132,9372
16808,-1920,3724,12652,-6220,15352
17852,-48,276,25512,-11724,-1640
16912,484,4516,11288,-26100,4072
14608,1292,9652,18984,7124,3136
14216,648,7140,15396,-4364,2876
15244,1396,4576,16732,-764,576
16064,1120,4328,16596,68,2300
16552,-948,4460,15576,-6696,2496
16900,-3272,3428,17160,16,2636
16552,-2372,3992,16112,-4796,2472
16220,-2684,4196,16924,-884,2056
16304,-3076,3052,16604,-1112,1000
16196,-2532,2160,16016,-3932,1760
16868,-1084,2460,16516,-1716,524
17288,-684,1364,16420,-1844,448
17076,-1192,620,16520,-968,1300
17244,-1440,328,16552,-552,700
17740,-252,-1056,16268,-1308,488
