16212,-1040,1116,16516,1676,704,0
16340,-1308,1084,16496,1396,1036,0
16292,-1312,1124,16536,1584,844,0
16364,-936,1280,16524,1492,1108,0
16268,-976,1144,16340,1464,1012,0
16260,-908,1272,16376,1888,308,0
16408,-560,1144,16288,2812,404,0
16412,-1292,1832,16472,584,1536,0
16292,-1232,1072,16716,672,2396,0
15168,-476,-3916,16364,1980,1620,0
16508,-1952,-1956,16356,1308,1192,0
19664,-792,1912,16100,3260,1128,0
17620,-1816,1020,16280,3772,2508,0
16944,272,584,16104,1540,1912,0
16456,-444,1296,15748,2024,1656,0
16012,-1836,828,14904,2492,1896,0
15376,-1140,656,16112,1656,1820,0
14808,824,-84,17592,3008,1836,0
14900,-376,108,16856,1808,-128,0
13976,-2612,2712,16852,1492,-1548,0
25412,-4900,-15704,16828,4596,-7716,0
12456,7564,-2564,19252,-2304,-8636,0
14944,-1476,-428,20904,3056,-6668,0
16284,-2028,1020,16940,3336,9216,0
16416,-4552,696,13968,4552,1348,0
15664,-808,1712,14564,-1496,4868,0
15968,-2060,1216,16252,1544,6048,0
15956,-924,904,16244,-1020,5352,0
16300,-4440,2204,18568,-1852,2516,0
15476,-504,56,18076,1080,1976,0
16436,-4068,4096,15160,-1268,1320,0
18960,1184,3508,13512,2492,1148,0
19176,-176,2760,16464,2052,5444,0
24784,2032,-2288,15876,5136,4940,0
25116,4812,-936,19104,5028,3424,0
16524,-8872,7168,16640,-2316,-444,0
6720,168,4484,17468,6468,184,0
11464,2240,7760,15092,2412,580,0
14152,-752,10408,16180,2772,200,0
17688,5356,9888,15772,2052,1484,0
20536,-1436,7340,16440,476,2544,0
17200,1940,9156,19220,-344,1312,0
8660,1276,10504,14248,620,-4820,0
32767,2452,-7324,21944,1504,-7300,0
16908,12144,4532,25704,6104,-1732,0
17624,-4992,1388,16004,10236,5480,0
15784,-84,-144,10408,-1560,3104,0
14280,1556,-700,12720,-2088,4936,0
14340,-6264,1596,16484,-1236,7340,0
16216,580,1292,17532,-1432,6908,0
16180,1588,4900,19228,-484,6404,0
17320,-1948,3148,19088,1832,4160,0
18764,1248,1096,10768,-988,4928,0
19864,-536,-1404,14076,4140,7944,0
26176,6184,-5340,7612,-8704,4560,0
25916,-9748,7548,20084,12508,5552,0
7680,-2656,12120,15560,1840,3524,0
11388,6308,7164,16072,1868,1532,0
10464,-400,9368,15672,3856,2980,0
14268,3536,10344,16276,1992,2372,0
17964,1784,11160,17928,1296,1760,0
19704,920,5952,16076,-232,2296,0
13400,320,5004,17068,1880,176,0
13380,1536,14960,19132,64,-3112,0
10772,2488,2068,24128,-2012,-18400,0
19096,-7236,8772,25268,8628,-1056,0
15900,5688,3408,10684,1956,10020,0
16372,-9532,1472,12188,-4060,3288,0
15700,3272,-28,12340,-688,7420,0
16252,-4132,3708,17296,-2148,8052,0
16936,780,2528,20136,-4876,8740,0
16584,-2492,2516,19920,3848,5716,0
17552,664,196,3992,-1624,4680,0
20056,2544,-5640,13128,6940,6444,0
27192,6164,-6788,7224,-8420,9032,0
22104,-10588,8716,23932,8792,10532,0
9852,1048,13752,13680,2452,4420,0
9508,1516,8632,15700,2632,2216,0
8024,8164,9172,16504,2548,628,0
13620,3592,11164,17120,1468,-248,0
17648,1188,11324,11392,1532,-1808,0
22532,1420,8456,17628,36,-4800,0
8164,256,4868,16860,1456,-6788,0
22992,-9808,-15492,18952,-892,-10616,0
7548,18012,-944,24392,-344,-15032,0
20140,-6620,6288,28548,10668,-3284,0
16476,1460,1812,8772,-2724,2920,0
15616,-5828,252,10356,-4376,7884,0
14628,460,424,12680,-704,6660,0
16120,-3648,4820,17596,-4304,8588,0
18044,1064,3096,19416,-5716,7416,0
16296,-268,-1868,20124,4584,4900,0
15484,-1496,-3804,9932,-5080,6628,0
18148,860,-5152,14164,4584,6780,0
21804,-160,-9400,12680,-6676,7340,0
28004,-8232,1176,20188,7800,8096,0
12064,-2684,13368,13716,-1292,1544,0
12340,6012,6624,16740,5408,364,0
9732,1564,7964,16332,120,-696,0
15412,6452,9856,16292,2568,1208,0
17928,4808,10756,16884,2264,3908,0
20868,-2468,9564,15760,876,912,0
14756,1840,7512,16420,276,2604,0
12028,1616,11412,17288,-540,3348,0
32767,-8608,-2072,31584,2620,-11456,0
24024,7608,7948,23364,2660,9416,0
16096,-4224,1368,6300,5460,13916,0
17596,-2284,2416,11576,-4312,4100,0
16444,1672,2396,9668,-7452,7812,0
15932,-3228,916,15392,-2284,6920,0
15396,-2220,1576,16808,-8568,8128,0
16248,-3116,2296,17372,840,5188,0
18016,-912,3560,14580,776,840,0
17992,-876,2048,15008,-548,-1176,0
18512,-4432,7716,30424,4124,-17224,0
19952,-164,3564,17904,-4356,3668,0
20940,-524,6344,17076,-800,1344,0
10560,-4260,13564,18564,4564,232,0
8108,1004,7768,16908,2708,600,0
10708,1592,10984,16748,2320,832,0
11192,-3676,13208,16644,1688,444,0
14556,-3624,15088,16548,376,1188,0
