Lx,Ly,Lz,Rx,Ry,Rz,label
16352,-2436,5428,17164,-28,4572,1
16196,-380,7600,16212,-1860,5540,1
16600,-1280,4376,16464,-3212,4104,1
15848,440,2904,15976,-2264,1480,1
16016,-1144,2480,16400,1124,904,1
16028,-1320,1732,16700,-16,2384,1
16324,-3320,2892,19484,-732,3448,1
16072,-2188,656,18972,-2460,4540,1
16008,-2384,1400,15872,540,1896,1
16184,-1220,3340,11156,-4368,5496,1
16488,-552,4104,13528,-2360,7256,1
17488,-2300,5196,18736,4604,5020,1
15652,-408,3428,10880,-612,92,1
15660,-2544,2684,18260,-3800,4672,1
15596,-308,1880,16520,640,3784,1
15740,-1316,2924,15820,952,2804,1
15984,-1136,4056,16724,-596,3228,1
16288,-156,4896,16580,-1300,2188,1
16112,1568,5488,16200,3904,1936,1
15116,-1684,5980,16324,1944,6388,1
16644,-2776,6100,16580,440,4100,1
16096,656,7880,16836,-5072,2120,1
16280,6068,6036,16132,1592,4976,1
15812,-4012,6392,16352,1408,4196,1
15464,-2348,5556,16696,3000,4412,1
16508,-1200,3868,15568,-188,1604,1
15604,5328,5964,16456,-2600,2484,1
16408,-3188,4996,16748,2548,4216,1
19164,1144,2556,16240,-524,724,1
18268,-3056,1792,16516,-36,2644,1
17504,-2068,5216,16428,2428,2340,1
15556,724,5616,16252,2000,2332,1
14184,248,6392,16364,1684,2864,1
14336,-1368,8624,16512,156,1580,1
11128,1020,10688,16208,1508,652,1
18908,3172,-5120,16856,1568,4020,1
13368,1676,2148,16144,776,2316,1
15348,-8188,5088,16348,6052,4092,1
18068,10180,3220,16548,-13572,2280,1
16404,440,2276,16520,2884,4548,1
15772,-10180,5668,16604,3744,5428,1
16048,456,2892,16176,1576,3240,1
16800,4728,-460,16188,-3600,2840,1
15868,-5644,1796,16436,1344,2180,1
16120,-1848,4476,16372,588,4128,1
16280,-2388,1480,16204,564,1908,1
16612,1656,3724,16320,-2536,2484,1
16264,2720,1772,16140,2196,1544,1
16476,-6780,3104,16320,220,4724,1
16416,-884,2196,16412,-2088,4060,1
16164,560,1552,16260,-1960,2948,1
15820,-244,2644,16480,1840,2724,1
16316,2768,2712,16996,-48,3284,1
16320,-7252,2444,19064,4652,-2688,1
16236,1044,3036,17392,-320,4544,1
16260,-3480,1732,17116,-4716,3752,1
15840,-844,1092,15232,-1044,3556,1
15248,-1428,2356,2456,-1188,3380,1
15260,-1388,6172,17980,-11212,3072,1
16588,-1392,3796,17448,2520,2460,1
16080,-516,3476,15892,252,3384,1
15916,-1232,2348,16008,-1728,2360,1
16196,-1292,3708,16428,920,1388,1
16516,-1112,3828,16228,-640,4164,1
16112,-1172,3696,16604,-160,2672,1
15960,-364,4388,16536,-60,2864,1
16296,-1428,4236,16204,12,4608,1
15980,-732,3820,16232,-864,3040,1
15844,-1032,3512,16112,24,3328,1
17040,-236,940,16252,-44,4672,1
16792,-380,1696,16416,-976,2856,1
17392,76,2560,16244,1220,3308,1
17068,-880,6860,16580,632,3716,1
13904,-2264,10480,16700,-112,3744,1
11716,-1376,12136,16172,396,2804,1
19388,-2616,1324,16204,308,5312,1
15832,1136,3228,16336,-1080,3736,1
16480,-740,1488,15936,-204,3244,1
16068,-256,1204,16632,288,2480,1
16468,-252,-272,16004,-3248,3016,1
16340,-1740,1448,15924,1068,2900,1
13996,-856,9080,16348,616,2252,1
18432,-3092,4632,16940,1484,4112,1
15180,3192,1884,16236,2208,5820,1
