Lx,Ly,Lz,Rx,Ry,Rz
5804,2692,-16220,16444,-3060,-40
5964,892,-11836,16472,-2768,-76
10464,2084,-11704,16424,-3120,-104
6668,1876,-12260,16508,-3384,-84
5408,5792,-14028,16324,-3376,108
8100,4752,-12068,16348,-3324,60
8364,1864,-15968,16404,-3208,-4
7792,4888,-14572,16436,-3200,-100
4960,2340,-14448,16484,-3168,-20
9376,4888,-11864,16404,-3292,28
7736,1468,-12176,16364,-3384,84
5500,6188,-14420,16328,-3300,20
5048,6936,-14440,16452,-3096,4
5376,4132,-12500,16512,-3084,-100
2432,3836,-14544,16432,-3164,-72
11028,2376,-10724,16424,-3192,-72
6068,1012,-14588,16364,-3464,-60
6360,2120,-13044,16352,-3432,92
5424,7588,-14048,16444,-3596,172
2196,7848,-15508,16356,-3400,-52
-1428,13308,-14304,16416,-3196,-68
5156,8064,-14564,16420,-3168,60
9256,2284,-12144,16380,-3220,64
7072,4220,-14160,16492,-3316,112
5208,3908,-12472,16376,-3276,236
4616,5540,-15112,16444,-3476,-80
4864,5292,-14184,16480,-3064,40
5984,4960,-14732,16336,-3144,36
5816,2940,-12852,16488,-3216,8
5748,3608,-12456,16368,-3516,120
7696,5728,-17748,16340,-3608,188
2652,6068,-15828,16348,-3520,184
11428,2520,-9652,16352,-3396,140
7568,1368,-12148,16456,-3192,-24
5860,3568,-12820,16512,-3112,12
5892,4324,-13476,16396,-3040,-136
5524,4256,-13476,16472,-3256,104
5728,4360,-13596,16476,-3108,4
5472,4344,-13224,16412,-3196,92
6288,4272,-13928,16460,-3100,-36
5376,4152,-13284,16460,-3192,-64
5616,4256,-13856,16464,-3480,-64
5304,4528,-13824,16432,-3392,-28
5156,4660,-13756,16440,-3248,-32
5544,4604,-13556,16460,-3176,-96
6048,4528,-13488,16468,-3240,-32
5644,4496,-13064,16460,-3172,-44
5832,4728,-13376,16472,-3320,24
5676,4768,-13612,16492,-3324,108
5480,4700,-13732,16388,-3188,156
5804,4408,-13604,16468,-3276,-44
5804,4504,-13268,16412,-3216,-64
5932,4488,-13308,16428,-3144,-64
5852,4712,-13340,16444,-3072,72
5572,4568,-13476,16424,-3196,-44
5656,4596,-13432,16396,-3184,-4
5780,4576,-13420,16420,-3184,-8
5900,4556,-13368,16348,-3184,92
5740,4792,-13384,16488,-3364,32
5720,4696,-13552,16372,-3324,44
5780,4656,-13228,16524,-3208,-16
5776,4756,-13448,16504,-3212,100
5716,4692,-13452,16416,-3124,100
5852,4712,-13428,16488,-3072,-44
5832,4624,-13396,16408,-3184,-92
5848,4488,-13440,16436,-3108,28
5836,4632,-13444,16456,-3192,-4
5756,4712,-13348,16396,-3208,16
5732,4708,-13380,16388,-3256,-44
5872,4916,-13316,16404,-3176,-100
5852,4680,-13380,16488,-3148,-120
5800,4652,-13344,16484,-3288,72
5824,4716,-13392,16496,-3188,-56
5820,4756,-13368,16440,-3048,-112
5760,4628,-13532,16432,-3168,-16
5832,4652,-13540,16420,-3296,88
5800,4744,-13436,16300,-3156,-156
5896,4744,-13288,16408,-3152,-24
5752,4744,-13376,16468,-3320,72
5884,4624,-13396,16440,-3164,140
5812,4432,-13336,16324,-3156,4
5784,4596,-13480,16504,-3240,-8
5732,4748,-13492,16456,-3116,-148
5896,4696,-13360,16440,-3236,-100
6016,4496,-13312,16436,-3252,-16
5732,4724,-13256,16432,-3292,96
5364,4864,-13684,16488,-3348,-152
5480,4844,-13624,16456,-3116,-220
5928,4556,-13376,16364,-3024,148
6052,4648,-13060,16388,-2936,172
6016,4816,-12988,16592,-3268,-68
6120,4224,-13212,16564,-3388,-216
